MfgComment,PartID,Description
"L8, L26",2240-0028,"IND,SMD,6.5UH,20%,6A,21.5MOHM,7X6.9MM"
"L39, L44",2240-0039,"IND,SMD,6.8UH,5%,0.45A,1.2OHM,61MHZ,2520"
"D1, D2, D3",2250-0010,"DIODE,SCHOTTKY,MBRA340T3G,3A,40V,SMA"
"D42, D43",2250-0028,"DIODE,SCHOTTKY,DFLS230L-7,2A,30V,POWERDI-123"
"D35, D36, D37",2250-0032,"DIODE,TVS,ESD5V3U2U-03F,3A,12V,TSFP-3"
"D16, D17, D18, D19, D20, D21",2250-0040,"DIODE,SMD,SIGNAL,FDLL4148_D87Z,SOD-80"
D44,2251-0005,"LED,SMD,RED,2V,TOP,0805"
"D22, D23, D24, D25, D26, D31, D34, D41",2251-0006,"LED,SMD,GREEN,2V,TOP,0805"
D30,2251-0007,"LED,SMD,YELLOW,2V,TOP,0805"
"Q10, Q11",2260-0002,"BJT,NPN,MMBT2222ALT1G,600MA,SOT-23"
"Q3, Q4, Q5, Q6, Q7, Q8",2260-0026,"MOSFET,N-CH,FDC6330L,20V,2.3A,SSOT-6"
Q12,2260-0033,"TRANSISTOR,PNP,FMMT720TA,1.5A,SOT-23-3"
U62,2280-0032,"IC,SMD,COM,SN65LVDS34,SOIC-8"
U44,2280-0154,"IC,PWRG,LTC3026,LDO-REG,1.5A,MSOP-10"
U57,2280-0157,"IC,PWRG,LT3509,BUCK,0.7A,DFN-14"
"U32, U33, U34",2280-0165,"IC,ADC,ADDI7004,14BIT,72MHZ,FBGA76"
"U23, U24, U25, U30, U31",2280-0168,"IC,AMP,DUAL,AD8062,MSOP-8"
"U17, U18, U19, U26, U27",2280-0169,"IC,SW,DUAL-SPDT-SW,ADG1436,TSSOP-16"
"U12, U13, U14, U64",2280-0170,"IC,MOSFET,ADP3623,MINI_SO_EP-8"
U54,2280-0171,"IC,PWRG,TPS51200DRCT,3A,VSON-10"
"U11, U15, U16, U35, U36, U40",2280-0172,"IC,TTL,SN74LVC8T245DBQR,TRANSCEIVER,SSOP-24"
U45,2280-0174,"IC,LAN,KSZ9021RN,TRANSCEIVER,QFN-48"
U67,2280-0184,"IC,PWRG,LT1431,SHUNT-ADJ,SOIC-8"
"U52, U53, U55, U56",2280-0201,"IC,PWRG,EN2342QI,4A,QFN-68"
IC2,2280-0206,"IC,FPGA,5CSEMA4U23C7N,CYCLONEV,UBGA-672"
"U1, U9, U10",2280-0207,"IC,PWGR,TPS54202,SOT-23-6"
U2,2280-0208,"IC,PWGR,LMR14050SDDA,HSOIC-8"
U3,2280-0209,"IC,PWGR,TPS7A88,WQFN-20"
U4,2280-0210,"IC,PWGR,LM2611AMF,SOT-23-5"
"U5, U6, U7",2280-0211,"IC,PWGR,TPS72301DBVR,SOT-23-5"
U20,2280-0212,"IC,PWGR,TPS65580,HTSSOP-20"
U38,2280-0213,"IC,MEM,MT41K512M16HA-125A,FBGA-96"
U48,2280-0215,"IC,MEM,S25FL512SAGMFIG10,SO-16"
U68,2280-0216,"IC,PWGR,TPS7A4901DGN,MSOP-8"
IC1,2280-0217,"IC,MICROC,PIC16F18855-I/MV,UQFN-28"
U39,2280-0218,"IC,CLK,5P49V5925B523NLGI8,VFQFPN-24"
Y2,2281-0030,"OSC,SMD,25MHZ,3.3V,6P,5.0X3.2MM"
"SW1, SW2",2290-0021,"SWT,TACT,SMD,SPST,SKQMBAE010,12V,0.05A,TOP"
SW7,2290-0030,"SWT,DIP,SMD,6WAYS,TOP"
SW6,2290-0032,"SWT,DIP,SMD,2WAYS,TOP"
"P1(5X1), H2(5X2), H1(3X1)",2550-0004,"CONN,PKK,TH,HEADER,TOP,2.54MM,40P"
